기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,일반_점포_수,프랜차이즈_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수
20261,11740685,길동,CS200019,PC방,7,7,0,0,0,0,0
20261,11740685,길동,CS200018,볼링장,2,2,0,0,0,0,0
20261,11740685,길동,CS200017,골프연습장,11,11,0,0,0,0,0
20261,11740685,길동,CS200016,당구장,27,27,0,0,0,0,0
20261,11740685,길동,CS200015,세무사사무소,26,26,0,0,0,0,0
20261,11740685,길동,CS200014,회계사사무소,3,3,0,0,0,0,0
20261,11740685,길동,CS200013,기타법무서비스,10,10,0,0,0,0,0
20261,11740685,길동,CS200012,법무사사무소,6,6,0,0,0,0,0
20261,11740685,길동,CS200010,변호사사무소,2,2,0,50,1,0,0
20261,11740685,길동,CS200009,동물병원,10,10,0,0,0,0,0
20261,11740685,길동,CS200008,한의원,23,23,0,0,0,0,0
20261,11740685,길동,CS200007,치과의원,33,33,0,0,0,0,0
20261,11740685,길동,CS200006,일반의원,66,66,0,2,1,0,0
20261,11740685,길동,CS200005,스포츠 강습,38,35,3,5,2,3,1
20261,11740685,길동,CS200004,컴퓨터학원,1,1,0,0,0,0,0
20261,11740685,길동,CS200003,예술학원,43,41,2,0,0,2,1
20261,11740685,길동,CS200002,외국어학원,9,9,0,0,0,0,0
20261,11740685,길동,CS200001,일반교습학원,106,100,6,3,3,2,2
20261,11740685,길동,CS100010,커피-음료,90,60,30,4,4,1,1
20261,11740685,길동,CS100009,호프-간이주점,109,98,11,2,2,6,7
20261,11740685,길동,CS100008,분식전문점,50,37,13,4,2,10,5
20261,11740685,길동,CS100007,치킨전문점,35,15,20,6,2,3,1
20261,11740685,길동,CS100006,패스트푸드점,28,15,13,0,0,7,2
20261,11740685,길동,CS100005,제과점,25,18,7,4,1,4,1
20261,11740685,길동,CS100004,양식음식점,22,20,2,5,1,5,1
20261,11740685,길동,CS100003,일식음식점,37,34,3,0,0,5,2
20261,11740685,길동,CS100002,중식음식점,29,21,8,14,4,10,3
20261,11740685,길동,CS100001,한식음식점,353,307,46,3,10,5,16
20261,11740660,성내3동,CS300043,전자상거래업,44,44,0,0,0,2,1
20261,11740660,성내3동,CS300042,주유소,4,4,0,0,0,0,0
20261,11740660,성내3동,CS300041,예술품,2,2,0,50,1,0,0
20261,11740660,성내3동,CS300040,재생용품 판매점,3,3,0,0,0,0,0
20261,11740660,성내3동,CS300038,자동차부품,7,7,0,0,0,14,1
20261,11740660,성내3동,CS300037,중고차판매,2,2,0,0,0,0,0
20261,11740660,성내3동,CS300036,조명용품,17,17,0,0,0,0,0
20261,11740660,성내3동,CS300035,인테리어,15,15,0,0,0,0,0
20261,11740660,성내3동,CS300034,악기,1,1,0,0,0,0,0
20261,11740660,성내3동,CS300033,철물점,10,10,0,0,0,0,0
20261,11740660,성내3동,CS300032,가전제품,5,5,0,0,0,0,0
20261,11740660,성내3동,CS300031,가구,14,14,0,0,0,0,0
20261,11740660,성내3동,CS300029,애완동물,7,7,0,14,1,0,0
20261,11740660,성내3동,CS300028,화초,12,12,0,0,0,8,1
20261,11740660,성내3동,CS300027,섬유제품,11,11,0,18,2,0,0
20261,11740660,성내3동,CS300026,완구,5,5,0,0,0,0,0
20261,11740660,성내3동,CS300025,자전거 및 기타운송장비,5,5,0,20,1,40,2
20261,11740660,성내3동,CS300024,운동/경기용품,27,27,0,7,2,0,0
20261,11740660,성내3동,CS300023,미용재료,3,3,0,0,0,0,0
20261,11740660,성내3동,CS300022,화장품,35,33,2,0,0,3,1
20261,11740660,성내3동,CS300021,문구,7,5,2,0,0,0,0
20261,11740660,성내3동,CS300020,서적,15,15,0,13,2,0,0
20261,11740660,성내3동,CS300019,의료기기,27,27,0,0,0,0,0
20261,11740660,성내3동,CS300018,의약품,40,38,2,3,1,3,1
20261,11740660,성내3동,CS300017,시계및귀금속,10,10,0,0,0,0,0
20261,11740660,성내3동,CS300016,안경,9,8,1,0,0,0,0
20261,11740660,성내3동,CS300015,가방,9,9,0,11,1,0,0
20261,11740660,성내3동,CS300014,신발,11,11,0,0,0,0,0
20261,11740660,성내3동,CS300013,유아의류,2,2,0,0,0,0,0
